ID,Marb,pH
71751,3,5.62
71752,4,5.55
71753,2.5,5.58
71754,2.5,5.85
71755,3,5.59
71756,2.5,5.54
71757,2,5.59
71758,2.5,5.66
71759,2.5,5.62
71760,3,5.58
71761,3,5.56
71762,3,5.50
71763,2,5.66
71764,3,5.60
71765,2,5.86
71766,2.5,5.60
71767,3,5.62
71768,2.5,5.58
71769,3,5.58
71770,2,5.64
71771,3,5.56
71772,3,5.63
71773,3,5.51
71774,3,5.55
71775,3,5.49
71776,2.5,5.58
71777,2.5,5.65
71778,2.5,5.63
71779,3,5.54
71780,3,5.55
71781,3,5.54
71782,3,5.51
71783,2,5.75
71784,3,5.54
71785,2.5,5.57
71786,3,5.58
71787,3,5.55
71788,3,5.55
71789,3,5.51
71790,2,5.58
71791,2.5,5.53
71792,3,5.56
71793,3,5.56
71794,3,5.77
71795,3,5.65
71796,2.5,5.62
71797,3,5.54
71798,2,5.73
71799,3,5.58
71800,3,5.55
71801,2,5.52
71802,3,5.61
71803,3,5.59
71804,3,5.59
71805,3,5.58
71806,2.5,5.87
71807,3,5.62
71808,3,5.54
71809,3,5.63
71810,3,5.62
71811,3,5.58
71812,3,5.58
71813,3,6.01
71814,2.5,5.88
71815,3,5.55
71816,2.5,5.78
71817,3,5.75
71818,2.5,5.53
71819,2,5.58
71820,3,5.52
71821,3,6.02
71822,2,5.58
71823,3,5.62
71824,3,5.57
71825,3,5.64
71826,2.5,5.73
71827,3.5,5.64
71828,3,5.65
71829,3,5.60
71830,3,5.62
71831,3,5.58
71832,3,5.51
71833,4,5.63
71834,2.5,5.70
71835,3,5.50
71836,2,5.74
71837,3.5,5.56
71838,3,5.51
71839,3,5.79
71840,2,5.59
71841,3,5.60
71842,3,5.57
71843,3,5.56
71844,3,5.52
71845,2.5,5.56
71846,2,5.59
71847,3,5.50
71848,3,5.51
71849,2,5.65
71850,3,5.48
71851,2,5.99
71852,3,5.56
71853,2.5,5.53
71854,3,5.54
71855,3,5.59
71856,3,5.57
71857,2,5.59
71858,3,5.56
71859,3,5.84
71860,3,5.57
71861,3,5.55
71862,3.5,5.54
71863,3,5.56
71864,2.5,5.67
71865,4,5.58
71866,4,5.59
71867,3,5.56
71868,2,5.58
71869,3,5.55
71870,3,5.58
71871,2,5.59
71872,3.5,5.54
71873,2,5.55
71874,2.5,5.55
71875,3,5.57
71876,3,5.53
71877,2,5.55
71878,3,6.27
71879,3.5,5.51
71880,2.5,5.67
71881,3,5.58
71882,3,5.55
71883,3,6.07
71884,3,5.59
71885,1.5,5.49
71886,3,5.61
71887,2,5.62
71888,3,5.63
71889,2,5.55
71890,2.5,5.69
71891,2.5,5.56
71893,2,5.67
71894,3,5.56
71895,2.5,5.53
71896,2,5.54
71897,2.5,5.64
71898,2.5,5.54
71899,2,5.61
71900,2,5.79
71901,2,5.65
71902,3,5.56
71903,2.5,5.60
71904,3,5.61
71905,2,5.70
71906,3,5.52
71907,2.5,5.68
71908,3,5.55
71909,3,5.59
71910,3,5.73
71911,3,5.57
71912,4,5.57
71913,2.5,5.59
71914,4,5.56
71915,2,5.59
71916,3,5.53
71917,2.5,5.58
71918,2,5.56
71919,3,5.94
71920,2,5.76
71921,2,5.60
71922,3,5.58
71923,3,5.55
71924,2.5,5.56
71925,3,5.56
71926,2,5.58
71927,3,5.52
71928,3,5.60
71929,3,5.56
71930,3.5,5.60
71931,2,5.63
71932,2.5,5.54
71933,3,5.60
71934,2,5.59
71935,2.5,5.61
71936,2,5.72
71937,2.5,5.69
71938,3,5.57
71939,2.5,5.56
71940,2,5.54
71941,3,5.59
71942,2,5.54
71943,3,5.62
71944,2.5,5.53
71945,1.5,5.57
71946,2.5,5.65
71947,3,5.51
71948,2.5,5.68
71949,2.5,5.56
71950,2,5.66
71951,2.5,5.68
71952,3,5.54
71953,3,5.59
71954,2,5.72
71955,3,6.00
71956,3,5.60
71957,3,5.63
71958,2.5,5.65
71959,3,5.60
71960,2,5.68
71961,3,5.61
71962,3,5.52
71963,2,5.53
71964,3,5.59
71965,3,5.54
71966,3,5.54
71967,2.5,6.09
71968,2,5.61
71969,3,5.59
71970,3,5.53
71971,2,5.63
71972,3,5.67
71973,3,5.57
71974,3,5.75
71975,3,5.58
71976,3,5.52
71977,3,5.89
71978,3,5.60
71979,2,5.61
71980,3,5.63
71981,2,5.64
71982,3,5.54
71983,2,5.61
71984,3,5.56
71985,3,5.92
71986,3,5.58
71989,2.5,5.69
71990,2.5,5.60
71991,3.5,5.59
71992,2,5.65
71993,2.5,5.64
71994,2.5,5.70
71995,3,5.49
71996,3,5.53
71997,2,5.82
71998,2.5,5.52
71999,3,5.58
72000,3.5,5.58
72001,3,5.55
72002,3,5.55
72003,2,5.59
72004,2.5,5.95
72005,3.5,5.54
72006,2,5.68
72007,3,5.54
